WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
JAKARTA BARAT (100%),830.191,611.338
JAKARTA PUSAT (100%),333.01,315.164
JAKARTA SELATAN (100%),670.875,721.313
JAKARTA TIMUR (100%),855.365,985.329
JAKARTA UTARA (100%),571.704,416.426
KEPULAUAN SERIBU (100%),8.826,8.281
