WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
KOTA CILEGON (100%),76.408,177.376
KOTA SERANG (100%),116.045,264.883
KOTA TANGERANG (100%),464.468,561.977
KOTA TANGERANG SELATAN (100%),410.261,389.123
LEBAK (100%),260.262,489.269
PANDEGLANG (100%),262.599,442.282
SERANG (100%),273.296,646.642
TANGERANG (100%),667.269,1.073.786
