WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
NUNUKAN (100%),77.099,21.458
TANA TIDUNG (100%),8.774,4.512
BULUNGAN (100%),54.507,22.987
KOTA TARAKAN (100%),70.853,49.365
MALINAU (100%),36.119,7.176
