WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BANGKA (100%),96.963,75.177
BANGKA BARAT (100%),71.537,38.003
BANGKA SELATAN (100%),68.531,39.349
BANGKA TENGAH (100%),63.319,39.166
BELITUNG (100%),77.639,28.211
BELITUNG TIMUR (100%),56.462,15.954
KOTA PANGKALPINANG (100%),61.049,52.237
