WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BINTAN (100%),50.422,36.972
KARIMUN (100%),70.333,59.615
KEPULAUAN ANAMBAS (100%),17.352,8.997
KOTA BATAM (100%),285.295,267.188
KOTA TANJUNGPINANG (100%),62.823,53.064
LINGGA (100%),34.239,20.763
NATUNA (100%),27.924,16.067
