WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BATANGHARI (100%),69.118,93.096
BUNGO (100%),67.937,135.826
KERINCI (100%),42.98,120.33
KOTA JAMBI (100%),141.927,199.044
KOTA SUNGAI PENUH (100%),9.154,46.298
MERANGIN (100%),82.203,138.538
MUARO JAMBI (100%),125.023,109.592
SAROLANGUN (100%),62.103,105.62
TANJUNG JABUNG BARAT (100%),87.936,86.259
TANJUNG JABUNG TIMUR (100%),78.089,60.349
TEBO (100%),92.268,105.303
