WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
HALMAHERA BARAT (100%),42.787,21.638
HALMAHERA SELATAN (100%),49.066,71.48
HALMAHERA TENGAH (100%),17.481,12.119
HALMAHERA TIMUR (100%),27.385,21.661
HALMAHERA UTARA (100%),70.65,35.615
KEPULAUAN SULA (100%),10.782,38.535
KOTA TERNATE (100%),32.68,69.532
KOTA TIDORE KEPULAUAN (100%),24.978,37.632
PULAU MOROTAI (100%),21.26,18.77
PULAU TALIABU (100%),13.516,17.384
