WILAYAH,PKB,Gerindra,PDIP,Golkar,NasDem,Garuda,Berkarya,PKS,Perindo,PPP,PSI,PAN,Hanura,Demokrat,PBB,PKPI
SULAWESI SELATAN II,102.505,224.15,125.954,415.048,221.252,9.624,49.88,105.802,26.372,125.635,19.745,136.679,16.35,99.415,14.317,1.264
SULAWESI SELATAN III,43.07,180.797,133.88,227.151,262.589,4.307,35.047,37.778,39.572,72.079,15.953,140.749,9.629,172.946,10.231,1.197
SULAWESI TENGAH,95.9,207.117,165.504,194.712,271.513,26.818,41.019,96.004,58.938,37.877,31.837,97.608,73.881,127.562,20.377,3.657
SULAWESI TENGGARA,60.902,151.872,183.197,203.794,95.522,6.226,28.189,85.423,20.479,65.284,17.68,158.621,12.039,163.684,33.562,1.498
SULAWESI UTARA,17.53,61.811,564.703,236.697,248.666,10.005,20.221,17.453,51.437,27.99,26.953,80.732,37.63,69.943,3.736,3.862
SUMATERA BARAT I,47.418,336.944,86.423,123.159,145.769,11.457,33.263,156.557,30.293,63.487,26.005,261.007,34.618,172.224,18.995,3.524
SUMATERA BARAT II,41.543,223.891,47.809,79.023,60.663,6.053,22.404,199.737,13.217,78.378,12.368,151.476,13.172,198.834,26.878,798
SUMATERA SELATAN I,105.168,343.235,265.16,297.267,268.989,12.104,52.54,143.536,53.839,50.26,32.097,132.466,31.199,201.626,23.448,6.906
SUMATERA SELATAN II,212.489,305.068,278.515,374.023,372.155,16.993,58.959,122.594,67.489,66.887,18.399,136.246,55.238,194.983,32.725,3.222
SUMATERA UTARA I,70.101,407.823,488.916,223.802,257.298,6.794,28.11,315.162,54.574,68.849,43.599,149.886,48.588,143.404,27.92,5.136
SUMATERA UTARA II,119.968,283.326,422.458,237.111,366.727,7.102,31.882,145.634,89.241,60.65,23.294,203.646,44.707,146.134,12.365,8.453
SUMATERA UTARA III,57.229,212.905,493.174,417.78,195.46,5.164,30.11,173.991,142.976,76.406,32.789,167.292,32.547,101.951,17.634,4.371
