WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BIMA (100%),43.626,239.782
DOMPU (100%),37.869,104.24
KOTA BIMA (100%),15.637,75.673
KOTA MATARAM (100%),91.399,155.968
LOMBOK BARAT (100%),106.509,294.459
LOMBOK TENGAH (100%),168.949,420.732
LOMBOK TIMUR (100%),280.981,427.499
LOMBOK UTARA (100%),70.649,71.09
SUMBAWA (100%),105.203,170.642
SUMBAWA BARAT (100%),29.658,49.22
